
  Migration name  Batch / Status  
  0001_01_01_000000_create_users_table  Pending  
  0001_01_01_000001_create_cache_table  Pending  
  0001_01_01_000002_create_jobs_table  Pending  
  2026_01_24_172740_create_elections_table  Pending  
  2026_01_24_172920_create_candidates_table  Pending  
  2026_01_24_173310_create_votes_table  Pending  
  2026_01_25_181400_add_role_to_users_table  Pending  
  2026_01_25_194937_create_personal_access_tokens_table  Pending  
  2026_01_28_122612_create_users_table  [1] Ran  
  2026_01_28_122633_create_personal_access_tokens_table  [1] Ran  
  2026_01_28_122655_create_elections_table  [1] Ran  
  2026_01_28_122713_create_candidates_table  [1] Ran  
  2026_01_28_122732_create_votes_table  [1] Ran  
  2026_01_28_122753_create_election_results_table  [1] Ran  
  2026_01_28_131440_create_sessions_table  [1] Ran  
  2026_01_28_160101_create_cache_table  [1] Ran  
  2026_01_28_185144_add_party_to_candidates_table  [1] Ran  
  2026_01_28_192832_add_extra_fields_to_users_and_candidates  [1] Ran  

